,id,model,grid_num,reward,best_reward
383,11,pressure,20,1,1
384,11,pressure,21,0,0
385,11,pressure,22,0,0
386,11,pressure,23,1,1
387,11,pressure,24,0,0
388,11,pressure,25,0,0
389,11,pressure,26,2,2
390,11,pressure,27,-1,-1
391,11,pressure,28,2,2
392,11,pressure,29,0,0
393,11,pressure,30,0,0
394,11,pressure,31,0,0
395,11,pressure,32,0,0
396,12,pressure,0,-1,-1
397,12,pressure,1,0,1
398,12,pressure,2,0,0
399,12,pressure,3,-2,1
400,12,pressure,4,2,2
401,12,pressure,5,2,2
402,12,pressure,6,-1,-1
403,12,pressure,7,-2,-2
404,12,pressure,8,2,2
405,12,pressure,9,0,0
406,12,pressure,10,-1,-1
407,12,pressure,11,2,2
408,12,pressure,12,-2,-1
409,12,pressure,13,1,1
410,12,pressure,14,-1,-1
411,12,pressure,15,1,1
412,12,pressure,16,2,2
413,12,pressure,17,1,1
414,12,pressure,18,-1,-1
415,12,pressure,19,1,1
416,12,pressure,20,1,1
417,12,pressure,21,0,0
418,12,pressure,22,0,0
419,12,pressure,23,1,1
420,12,pressure,24,-2,0
421,12,pressure,25,0,0
422,12,pressure,26,2,2
423,12,pressure,27,-1,-1
424,12,pressure,28,2,2
425,12,pressure,29,0,0
426,12,pressure,30,0,0
427,12,pressure,31,0,0
428,12,pressure,32,0,0
429,13,pressure,0,-1,-1
430,13,pressure,1,0,1
431,13,pressure,2,0,0
432,13,pressure,3,-2,1
433,13,pressure,4,2,2
434,13,pressure,5,2,2
435,13,pressure,6,-1,-1
436,13,pressure,7,-2,-2
437,13,pressure,8,2,2
438,13,pressure,9,0,0
439,13,pressure,10,-1,-1
440,13,pressure,11,2,2
441,13,pressure,12,-1,-1
442,13,pressure,13,1,1
443,13,pressure,14,-1,-1
444,13,pressure,15,1,1
445,13,pressure,16,2,2
446,13,pressure,17,0,1
447,13,pressure,18,-1,-1
448,13,pressure,19,1,1
449,13,pressure,20,1,1
450,13,pressure,21,0,0
451,13,pressure,22,0,0
452,13,pressure,23,1,1
453,13,pressure,24,0,0
454,13,pressure,25,-1,0
455,13,pressure,26,2,2
456,13,pressure,27,-1,-1
457,13,pressure,28,2,2
458,13,pressure,29,0,0
459,13,pressure,30,0,0
460,13,pressure,31,0,0
461,13,pressure,32,0,0
462,14,pressure,0,-1,-1
463,14,pressure,1,0,1
464,14,pressure,2,0,0
465,14,pressure,3,-2,1
466,14,pressure,4,2,2
467,14,pressure,5,2,2
468,14,pressure,6,-1,-1
469,14,pressure,7,-2,-2
470,14,pressure,8,2,2
471,14,pressure,9,0,0
472,14,pressure,10,-1,-1
473,14,pressure,11,2,2
474,14,pressure,12,-2,-1
475,14,pressure,13,1,1
476,14,pressure,14,-2,-1
477,14,pressure,15,1,1
478,14,pressure,16,2,2
479,14,pressure,17,1,1
480,14,pressure,18,-1,-1
481,14,pressure,19,1,1
482,14,pressure,20,1,1
483,14,pressure,21,0,0
484,14,pressure,22,0,0
485,14,pressure,23,1,1
486,14,pressure,24,0,0
487,14,pressure,25,-1,0
488,14,pressure,26,2,2
489,14,pressure,27,-1,-1
490,14,pressure,28,2,2
491,14,pressure,29,0,0
492,14,pressure,30,0,0
493,14,pressure,31,0,0
494,14,pressure,32,0,0
495,15,pressure,0,-1,-1
496,15,pressure,1,0,1
497,15,pressure,2,0,0
498,15,pressure,3,-2,1
499,15,pressure,4,2,2
500,15,pressure,5,2,2
501,15,pressure,6,-1,-1
502,15,pressure,7,-2,-2
503,15,pressure,8,2,2
504,15,pressure,9,0,0
505,15,pressure,10,-1,-1
506,15,pressure,11,2,2
507,15,pressure,12,-2,-1
508,15,pressure,13,1,1
509,15,pressure,14,-1,-1
510,15,pressure,15,1,1
511,15,pressure,16,2,2
512,15,pressure,17,1,1
513,15,pressure,18,-1,-1
514,15,pressure,19,1,1
515,15,pressure,20,1,1
516,15,pressure,21,0,0
517,15,pressure,22,0,0
518,15,pressure,23,1,1
519,15,pressure,24,0,0
520,15,pressure,25,-1,0
521,15,pressure,26,2,2
522,15,pressure,27,-1,-1
523,15,pressure,28,2,2
524,15,pressure,29,0,0
525,15,pressure,30,0,0
526,15,pressure,31,0,0
527,15,pressure,32,0,0
528,16,pressure,0,-1,-1
529,16,pressure,1,0,1
530,16,pressure,2,0,0
531,16,pressure,3,-2,1
532,16,pressure,4,2,2
533,16,pressure,5,2,2
534,16,pressure,6,-1,-1
535,16,pressure,7,-2,-2
536,16,pressure,8,2,2
537,16,pressure,9,0,0
538,16,pressure,10,-1,-1
539,16,pressure,11,2,2
540,16,pressure,12,-2,-1
541,16,pressure,13,1,1
542,16,pressure,14,-2,-1
543,16,pressure,15,1,1
544,16,pressure,16,2,2
545,16,pressure,17,0,1
546,16,pressure,18,-1,-1
547,16,pressure,19,1,1
548,16,pressure,20,1,1
549,16,pressure,21,0,0
550,16,pressure,22,0,0
551,16,pressure,23,1,1
