,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum,push,time_x_push,no_time
73,0,-0.5,0.5,-0.25,5,308,0.0,-0.0,0
74,0,-0.5,0.5,-0.25,5,401,0.0,-0.0,1
75,0,-0.5,0.5,-0.25,5,402,0.0,-0.0,1
76,-1,-0.5,-0.5,0.25,5,107,0.5,-0.25,-2
77,0,-0.5,0.5,-0.25,5,302,0.0,-0.0,0
78,0,-0.5,0.5,-0.25,5,406,0.0,-0.0,1
79,0,-0.5,0.5,-0.25,5,405,0.0,-0.0,1
80,-1,-0.5,-0.5,0.25,5,101,0.5,-0.25,-2
81,0,-0.5,-0.5,0.25,5,205,-0.5,0.25,-1
82,0,-0.5,-0.5,0.25,6,204,-0.5,0.25,-1
83,0,-0.5,0.5,-0.25,5,303,0.0,-0.0,0
84,0,-0.5,0.5,-0.25,6,302,0.0,-0.0,0
85,-1,-0.5,-0.5,0.25,5,106,0.5,-0.25,-2
86,0,-0.5,0.5,-0.25,6,301,0.0,-0.0,0
87,-1,-0.5,0.5,-0.25,6,306,0.0,-0.0,-1
88,-1,-0.5,-0.5,0.25,4,202,-0.5,0.25,-2
89,-1,-0.5,-0.5,0.25,4,203,-0.5,0.25,-2
90,0,-0.5,0.5,-0.25,5,407,0.0,-0.0,1
91,0,-0.5,0.5,-0.25,6,408,0.0,-0.0,1
92,-1,-0.5,-0.5,0.25,5,104,0.5,-0.25,-2
93,0,-0.5,0.5,-0.25,4,407,0.0,-0.0,1
94,0,-0.5,-0.5,0.25,6,105,0.5,-0.25,-1
95,0,-0.5,-0.5,0.25,6,202,-0.5,0.25,-1
96,-1,-0.5,-0.5,0.25,5,102,0.5,-0.25,-2
97,0,-0.5,0.5,-0.25,4,302,0.0,-0.0,0
98,0,-0.5,0.5,-0.25,6,305,0.0,-0.0,0
99,0,-0.5,-0.5,0.25,5,207,-0.5,0.25,-1
100,-1,-0.5,-0.5,0.25,5,108,0.5,-0.25,-2
101,0,-0.5,-0.5,0.25,6,101,0.5,-0.25,-1
102,0,-0.5,0.5,-0.25,5,305,0.0,-0.0,0
103,-1,-0.5,-0.5,0.25,5,201,-0.5,0.25,-2
104,0,-0.5,0.5,-0.25,6,402,0.0,-0.0,1
105,0,-0.5,-0.5,0.25,4,205,-0.5,0.25,-1
106,0,-0.5,-0.5,0.25,6,207,-0.5,0.25,-1
107,0,-0.5,-0.5,0.25,6,104,0.5,-0.25,-1
108,-1,-0.5,-0.5,0.25,4,108,0.5,-0.25,-2
109,0,-0.5,0.5,-0.25,6,303,0.0,-0.0,0
110,0,-0.5,0.5,-0.25,6,405,0.0,-0.0,1
111,0,-0.5,0.5,-0.25,4,406,0.0,-0.0,1
112,0,-0.5,-0.5,0.25,6,205,-0.5,0.25,-1
113,0,-0.5,0.5,-0.25,4,301,0.0,-0.0,0
114,-1,-0.5,-0.5,0.25,4,103,0.5,-0.25,-2
115,0,-0.5,0.5,-0.25,6,401,0.0,-0.0,1
116,0,-0.5,0.5,-0.25,4,307,0.0,-0.0,0
117,0,-0.5,0.5,-0.25,6,403,0.0,-0.0,1
118,-1,-0.5,-0.5,0.25,4,101,0.5,-0.25,-2
119,-1,-0.5,-0.5,0.25,6,108,0.5,-0.25,-2
120,0,-0.5,0.5,-0.25,6,307,0.0,-0.0,0
121,0,-0.5,0.5,-0.25,6,407,0.0,-0.0,1
122,0,-0.5,-0.5,0.25,6,107,0.5,-0.25,-1
123,0,-0.5,-0.5,0.25,6,208,-0.5,0.25,-1
124,0,-0.5,-0.5,0.25,6,106,0.5,-0.25,-1
125,-1,-0.5,0.5,-0.25,4,308,0.0,-0.0,-1
126,0,-0.5,-0.5,0.25,6,203,-0.5,0.25,-1
127,0,-0.5,0.5,-0.25,4,402,0.0,-0.0,1
128,0,-0.5,0.5,-0.25,6,308,0.0,-0.0,0
129,0,-0.5,0.5,-0.25,6,404,0.0,-0.0,1
130,0,-0.5,0.5,-0.25,4,408,0.0,-0.0,1
131,0,-0.5,-0.5,0.25,6,206,-0.5,0.25,-1
132,0,-0.5,-0.5,0.25,6,103,0.5,-0.25,-1
133,-1,-0.5,-0.5,0.25,6,102,0.5,-0.25,-2
134,-1,-0.5,-0.5,0.25,4,102,0.5,-0.25,-2
135,0,-0.5,0.5,-0.25,6,304,0.0,-0.0,0
136,0,-0.5,0.5,-0.25,6,406,0.0,-0.0,1
137,0,-0.5,-0.5,0.25,6,201,-0.5,0.25,-1
138,0,-0.5,0.5,-0.25,4,405,0.0,-0.0,1
139,0,-0.5,-0.5,0.25,4,208,-0.5,0.25,-1
140,0,-0.5,0.5,-0.25,4,403,0.0,-0.0,1
141,0,-0.5,0.5,-0.25,4,404,0.0,-0.0,1
142,0,-0.5,0.5,-0.25,4,305,0.0,-0.0,0
143,-1,-0.5,-0.5,0.25,4,107,0.5,-0.25,-2
144,0,-0.5,-0.5,0.25,4,207,-0.5,0.25,-1
145,0,-0.5,0.5,-0.25,4,303,0.0,-0.0,0
146,-1,-0.5,-0.5,0.25,4,104,0.5,-0.25,-2
147,0,-0.5,-0.5,0.25,4,204,-0.5,0.25,-1
148,0,-0.5,-0.5,0.25,4,206,-0.5,0.25,-1
149,0,-0.5,0.5,-0.25,4,401,0.0,-0.0,1
150,0,-0.5,-0.5,0.25,4,105,0.5,-0.25,-1
151,0,-0.5,-0.5,0.25,4,201,-0.5,0.25,-1
