,id,model,grid_num,reward,best_reward
1053,31,pressure,30,-2,0
1054,31,pressure,31,0,0
1055,31,pressure,32,0,0
1056,32,pressure,0,-1,-1
1057,32,pressure,1,0,1
1058,32,pressure,2,0,0
1059,32,pressure,3,-2,1
1060,32,pressure,4,2,2
1061,32,pressure,5,2,2
1062,32,pressure,6,-1,-1
1063,32,pressure,7,-2,-2
1064,32,pressure,8,2,2
1065,32,pressure,9,0,0
1066,32,pressure,10,-1,-1
1067,32,pressure,11,2,2
1068,32,pressure,12,-2,-1
1069,32,pressure,13,1,1
1070,32,pressure,14,-1,-1
1071,32,pressure,15,-1,1
1072,32,pressure,16,2,2
1073,32,pressure,17,1,1
1074,32,pressure,18,-1,-1
1075,32,pressure,19,1,1
1076,32,pressure,20,1,1
1077,32,pressure,21,0,0
1078,32,pressure,22,-1,0
1079,32,pressure,23,1,1
1080,32,pressure,24,0,0
1081,32,pressure,25,-1,0
1082,32,pressure,26,2,2
1083,32,pressure,27,-1,-1
1084,32,pressure,28,2,2
1085,32,pressure,29,0,0
1086,32,pressure,30,0,0
1087,32,pressure,31,0,0
1088,32,pressure,32,0,0
1089,33,pressure,0,-1,-1
1090,33,pressure,1,1,1
1091,33,pressure,2,0,0
1092,33,pressure,3,-2,1
1093,33,pressure,4,2,2
1094,33,pressure,5,2,2
1095,33,pressure,6,-1,-1
1096,33,pressure,7,-2,-2
1097,33,pressure,8,0,2
1098,33,pressure,9,0,0
1099,33,pressure,10,-1,-1
1100,33,pressure,11,2,2
1101,33,pressure,12,-2,-1
1102,33,pressure,13,1,1
1103,33,pressure,14,-2,-1
1104,33,pressure,15,1,1
1105,33,pressure,16,2,2
1106,33,pressure,17,1,1
1107,33,pressure,18,-1,-1
1108,33,pressure,19,1,1
1109,33,pressure,20,1,1
1110,33,pressure,21,0,0
1111,33,pressure,22,0,0
1112,33,pressure,23,1,1
1113,33,pressure,24,0,0
1114,33,pressure,25,0,0
1115,33,pressure,26,2,2
1116,33,pressure,27,-1,-1
1117,33,pressure,28,2,2
1118,33,pressure,29,0,0
1119,33,pressure,30,0,0
1120,33,pressure,31,0,0
1121,33,pressure,32,0,0
1122,34,pressure,0,-1,-1
1123,34,pressure,1,0,1
1124,34,pressure,2,0,0
1125,34,pressure,3,-2,1
1126,34,pressure,4,2,2
1127,34,pressure,5,2,2
1128,34,pressure,6,-1,-1
1129,34,pressure,7,-2,-2
1130,34,pressure,8,2,2
1131,34,pressure,9,0,0
1132,34,pressure,10,-1,-1
1133,34,pressure,11,2,2
1134,34,pressure,12,-2,-1
1135,34,pressure,13,1,1
1136,34,pressure,14,-2,-1
1137,34,pressure,15,1,1
1138,34,pressure,16,2,2
1139,34,pressure,17,1,1
1140,34,pressure,18,-1,-1
1141,34,pressure,19,1,1
1142,34,pressure,20,1,1
1143,34,pressure,21,0,0
1144,34,pressure,22,0,0
1145,34,pressure,23,1,1
1146,34,pressure,24,0,0
1147,34,pressure,25,-1,0
1148,34,pressure,26,2,2
1149,34,pressure,27,-1,-1
1150,34,pressure,28,2,2
1151,34,pressure,29,-1,0
1152,34,pressure,30,0,0
1153,34,pressure,31,0,0
1154,34,pressure,32,0,0
1155,35,pressure,0,-1,-1
1156,35,pressure,1,0,1
1157,35,pressure,2,0,0
1158,35,pressure,3,-2,1
1159,35,pressure,4,2,2
1160,35,pressure,5,2,2
1161,35,pressure,6,-1,-1
1162,35,pressure,7,-2,-2
1163,35,pressure,8,2,2
1164,35,pressure,9,0,0
1165,35,pressure,10,-1,-1
1166,35,pressure,11,2,2
1167,35,pressure,12,-2,-1
1168,35,pressure,13,1,1
1169,35,pressure,14,-1,-1
1170,35,pressure,15,1,1
1171,35,pressure,16,2,2
1172,35,pressure,17,1,1
1173,35,pressure,18,-1,-1
1174,35,pressure,19,1,1
1175,35,pressure,20,1,1
1176,35,pressure,21,0,0
1177,35,pressure,22,-1,0
1178,35,pressure,23,1,1
1179,35,pressure,24,-2,0
1180,35,pressure,25,-1,0
1181,35,pressure,26,2,2
1182,35,pressure,27,-1,-1
1183,35,pressure,28,2,2
1184,35,pressure,29,0,0
1185,35,pressure,30,0,0
1186,35,pressure,31,0,0
1187,35,pressure,32,0,0
1188,36,pressure,0,-1,-1
1189,36,pressure,1,0,1
1190,36,pressure,2,0,0
1191,36,pressure,3,-2,1
1192,36,pressure,4,2,2
1193,36,pressure,5,2,2
1194,36,pressure,6,-1,-1
1195,36,pressure,7,-2,-2
1196,36,pressure,8,2,2
1197,36,pressure,9,0,0
1198,36,pressure,10,-1,-1
1199,36,pressure,11,2,2
1200,36,pressure,12,-2,-1
1201,36,pressure,13,1,1
1202,36,pressure,14,-1,-1
1203,36,pressure,15,-1,1
1204,36,pressure,16,2,2
1205,36,pressure,17,1,1
1206,36,pressure,18,-1,-1
1207,36,pressure,19,1,1
1208,36,pressure,20,1,1
1209,36,pressure,21,0,0
1210,36,pressure,22,0,0
1211,36,pressure,23,1,1
1212,36,pressure,24,0,0
1213,36,pressure,25,-1,0
1214,36,pressure,26,2,2
1215,36,pressure,27,-1,-1
1216,36,pressure,28,2,2
1217,36,pressure,29,0,0
1218,36,pressure,30,-2,0
1219,36,pressure,31,0,0
1220,36,pressure,32,0,0
1221,37,pressure,0,-1,-1
1222,37,pressure,1,0,1
1223,37,pressure,2,0,0
1224,37,pressure,3,-2,1
1225,37,pressure,4,2,2
1226,37,pressure,5,2,2
1227,37,pressure,6,-1,-1
1228,37,pressure,7,-2,-2
1229,37,pressure,8,2,2
1230,37,pressure,9,0,0
1231,37,pressure,10,-1,-1
1232,37,pressure,11,2,2
1233,37,pressure,12,-2,-1
1234,37,pressure,13,1,1
1235,37,pressure,14,-2,-1
1236,37,pressure,15,1,1
1237,37,pressure,16,2,2
1238,37,pressure,17,1,1
1239,37,pressure,18,-1,-1
1240,37,pressure,19,1,1
1241,37,pressure,20,1,1
1242,37,pressure,21,0,0
1243,37,pressure,22,0,0
1244,37,pressure,23,1,1
1245,37,pressure,24,0,0
1246,37,pressure,25,0,0
1247,37,pressure,26,2,2
1248,37,pressure,27,-1,-1
1249,37,pressure,28,2,2
1250,37,pressure,29,0,0
1251,37,pressure,30,0,0
1252,37,pressure,31,0,0
1253,37,pressure,32,0,0
1254,38,pressure,0,-1,-1
1255,38,pressure,1,0,1
1256,38,pressure,2,0,0
1257,38,pressure,3,-2,1
1258,38,pressure,4,2,2
1259,38,pressure,5,2,2
1260,38,pressure,6,-1,-1
1261,38,pressure,7,-2,-2
1262,38,pressure,8,2,2
1263,38,pressure,9,0,0
1264,38,pressure,10,-1,-1
1265,38,pressure,11,2,2
1266,38,pressure,12,-2,-1
1267,38,pressure,13,1,1
1268,38,pressure,14,-1,-1
1269,38,pressure,15,-1,1
1270,38,pressure,16,2,2
1271,38,pressure,17,1,1
1272,38,pressure,18,-1,-1
1273,38,pressure,19,1,1
1274,38,pressure,20,1,1
1275,38,pressure,21,0,0
1276,38,pressure,22,0,0
1277,38,pressure,23,1,1
1278,38,pressure,24,0,0
1279,38,pressure,25,-1,0
1280,38,pressure,26,2,2
1281,38,pressure,27,-1,-1
1282,38,pressure,28,2,2
1283,38,pressure,29,0,0
1284,38,pressure,30,0,0
1285,38,pressure,31,0,0
1286,38,pressure,32,0,0
1287,39,pressure,0,-1,-1
1288,39,pressure,1,0,1
1289,39,pressure,2,0,0
1290,39,pressure,3,-2,1
1291,39,pressure,4,2,2
1292,39,pressure,5,2,2
1293,39,pressure,6,-1,-1
1294,39,pressure,7,-2,-2
