,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum
482,0,0.5,-0.5,-0.25,15,0
483,0,0.5,-0.5,-0.25,18,4
484,0,0.5,-0.5,-0.25,15,11
485,0,0.5,-0.5,-0.25,18,5
486,0,0.5,-0.5,-0.25,18,17
487,0,0.5,-0.5,-0.25,18,26
488,0,0.5,-0.5,-0.25,18,7
489,0,0.5,-0.5,-0.25,18,6
490,0,0.5,-0.5,-0.25,18,28
491,-1,0.5,0.5,0.25,18,12
492,0,0.5,-0.5,-0.25,18,11
493,0,0.5,-0.5,-0.25,18,29
494,-1,0.5,0.5,0.25,18,14
495,0,0.5,-0.5,-0.25,18,0
496,2,0.5,0.5,0.25,18,3
497,0,0.5,-0.5,-0.25,18,27
498,-1,0.5,-0.5,-0.25,18,10
499,0,0.5,-0.5,-0.25,18,15
500,0,0.5,-0.5,-0.25,18,9
501,0,0.5,-0.5,-0.25,18,21
502,0,0.5,-0.5,-0.25,18,20
503,0,-0.5,-0.5,0.25,20,9
504,0,-0.5,-0.5,0.25,20,22
505,0,-0.5,-0.5,0.25,20,20
506,0,-0.5,-0.5,0.25,20,7
507,0,-0.5,-0.5,0.25,20,24
508,-1,-0.5,-0.5,0.25,20,13
509,-3,-0.5,0.5,-0.25,20,12
510,0,-0.5,-0.5,0.25,20,6
511,-1,-0.5,0.5,-0.25,20,3
512,0,-0.5,-0.5,0.25,20,26
513,0,-0.5,-0.5,0.25,20,5
514,-1,-0.5,-0.5,0.25,20,10
515,0,-0.5,-0.5,0.25,20,1
516,0,-0.5,-0.5,0.25,20,11
517,0,-0.5,-0.5,0.25,20,23
518,0,-0.5,-0.5,0.25,20,18
519,-2,-0.5,-0.5,0.25,20,21
520,0,-0.5,-0.5,0.25,20,29
521,0,-0.5,-0.5,0.25,20,0
522,-2,-0.5,-0.5,0.25,20,28
523,0,-0.5,-0.5,0.25,20,27
524,0,-0.5,-0.5,0.25,20,16
525,-1,-0.5,0.5,-0.25,20,14
526,0,-0.5,-0.5,0.25,20,17
527,-1,-0.5,-0.5,0.25,20,4
528,0,-0.5,-0.5,0.25,20,2
529,0,-0.5,-0.5,0.25,20,15
530,0,-0.5,-0.5,0.25,20,8
531,0,-0.5,-0.5,0.25,20,19
532,0,-0.5,-0.5,0.25,20,25
533,-2,-0.5,-0.5,0.25,21,13
534,-1,-0.5,0.5,-0.25,21,3
535,0,-0.5,-0.5,0.25,21,16
536,0,-0.5,-0.5,0.25,21,6
537,0,-0.5,-0.5,0.25,21,9
538,0,-0.5,-0.5,0.25,21,19
539,0,-0.5,-0.5,0.25,21,22
540,0,-0.5,-0.5,0.25,21,2
541,-1,-0.5,0.5,-0.25,21,12
542,0,-0.5,-0.5,0.25,21,7
543,0,-0.5,-0.5,0.25,21,8
544,-1,-0.5,-0.5,0.25,21,4
545,0,-0.5,-0.5,0.25,21,0
546,0,-0.5,-0.5,0.25,21,28
547,0,-0.5,-0.5,0.25,21,1
548,0,-0.5,-0.5,0.25,21,5
549,0,-0.5,-0.5,0.25,21,25
550,-1,-0.5,-0.5,0.25,21,17
551,0,-0.5,-0.5,0.25,21,10
552,0,-0.5,-0.5,0.25,21,20
553,-2,-0.5,-0.5,0.25,21,29
554,0,-0.5,-0.5,0.25,21,15
555,0,-0.5,-0.5,0.25,21,21
556,0,-0.5,-0.5,0.25,21,18
557,0,-0.5,-0.5,0.25,21,27
558,0,-0.5,-0.5,0.25,21,23
559,0,-0.5,-0.5,0.25,21,26
560,0,-0.5,-0.5,0.25,21,11
561,0,-0.5,-0.5,0.25,21,24
562,-1,-0.5,0.5,-0.25,21,14
