,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum
305,0,-0.5,0.5,-0.25,37,105
306,-1,-0.5,0.5,-0.25,37,106
307,-1,-0.5,-0.5,0.25,37,304
308,0,0.5,-0.5,-0.25,38,303
309,0,-0.5,-0.5,0.25,37,408
310,0,-0.5,-0.5,0.25,37,302
311,0,-0.5,-0.5,0.25,37,402
312,0,-0.5,-0.5,0.25,37,305
313,0,0.5,-0.5,-0.25,38,401
314,0,0.5,0.5,0.25,38,102
315,-3,-0.5,0.5,-0.25,41,103
316,0,-0.5,-0.5,0.25,41,401
317,-4,-0.5,-0.5,0.25,41,305
318,0,-0.5,-0.5,0.25,41,404
319,-4,-0.5,-0.5,0.25,41,308
320,-3,-0.5,0.5,-0.25,41,108
321,-3,-0.5,0.5,-0.25,41,102
322,-4,-0.5,-0.5,0.25,41,307
323,-1,0.5,-0.5,-0.25,43,406
324,-1,0.5,0.5,0.25,43,103
325,-5,-0.5,-0.5,0.25,41,408
326,0,0.5,-0.5,-0.25,43,403
327,-1,0.5,0.5,0.25,43,102
328,-1,0.5,-0.5,-0.25,43,303
329,-1,-0.5,-0.5,0.25,42,301
330,-1,-0.5,0.5,-0.25,42,103
331,0,0.5,-0.5,-0.25,43,408
332,-1,-0.5,0.5,-0.25,42,107
333,-1,0.5,-0.5,-0.25,43,306
334,-1,-0.5,-0.5,0.25,42,306
335,-1,0.5,-0.5,-0.25,43,301
336,-3,-0.5,0.5,-0.25,42,105
337,-1,0.5,0.5,0.25,43,108
338,-1,-0.5,-0.5,0.25,42,401
339,0,-0.5,-0.5,0.25,42,408
340,-1,-0.5,-0.5,0.25,42,406
341,0,-0.5,-0.5,0.25,42,308
342,0,0.5,-0.5,-0.25,45,302
343,-1,0.5,-0.5,-0.25,45,408
344,0,0.5,-0.5,-0.25,45,304
345,-1,0.5,0.5,0.25,45,102
346,-1,0.5,0.5,0.25,45,108
347,-1,0.5,-0.5,-0.25,45,405
348,-1,0.5,0.5,0.25,45,107
349,0,0.5,-0.5,-0.25,45,305
350,0,0.5,-0.5,-0.25,45,406
351,-1,-0.5,0.5,-0.25,46,103
352,0,-0.5,-0.5,0.25,46,402
353,-4,-0.5,-0.5,0.25,46,302
354,-1,-0.5,-0.5,0.25,46,303
355,0,-0.5,-0.5,0.25,46,406
356,0,-0.5,-0.5,0.25,46,404
357,-1,-0.5,0.5,-0.25,46,104
358,-1,-0.5,0.5,-0.25,46,102
359,0,-0.5,-0.5,0.25,46,306
360,-1,-0.5,0.5,-0.25,47,101
361,0,-0.5,-0.5,0.25,47,405
362,0,-0.5,-0.5,0.25,47,307
363,-1,-0.5,0.5,-0.25,47,107
364,0,-0.5,-0.5,0.25,47,402
365,0,-0.5,-0.5,0.25,47,403
366,0,-0.5,-0.5,0.25,47,301
367,0,-0.5,-0.5,0.25,47,302
368,-1,-0.5,0.5,-0.25,47,108
369,-1,0.5,-0.5,-0.25,49,303
370,-1,0.5,-0.5,-0.25,49,405
371,-1,0.5,0.5,0.25,49,107
372,0,0.5,-0.5,-0.25,49,305
373,-1,0.5,0.5,0.25,49,104
374,0,0.5,0.5,0.25,49,102
375,-1,0.5,-0.5,-0.25,49,308
376,0,0.5,-0.5,-0.25,49,406
377,0,0.5,-0.5,-0.25,49,401
378,-1,-0.5,-0.5,0.25,50,304
379,0,-0.5,-0.5,0.25,50,407
380,-1,-0.5,-0.5,0.25,50,303
381,-1,-0.5,0.5,-0.25,50,106
382,-1,-0.5,0.5,-0.25,50,104
383,-4,-0.5,-0.5,0.25,50,305
384,-1,-0.5,-0.5,0.25,50,402
385,0,0.5,-0.5,-0.25,52,403
386,0,0.5,-0.5,-0.25,52,301
387,-1,-0.5,0.5,-0.25,50,105
388,-1,-0.5,-0.5,0.25,50,406
389,0,0.5,0.5,0.25,52,101
390,-1,0.5,-0.5,-0.25,52,404
391,0,0.5,-0.5,-0.25,52,302
392,0,0.5,-0.5,-0.25,53,308
393,0,0.5,0.5,0.25,52,107
394,0,0.5,-0.5,-0.25,53,406
395,0,0.5,-0.5,-0.25,52,402
396,0,0.5,0.5,0.25,52,105
397,0,0.5,-0.5,-0.25,52,306
398,-1,0.5,0.5,0.25,53,101
399,-1,0.5,0.5,0.25,53,103
400,0,0.5,-0.5,-0.25,53,408
401,0,0.5,-0.5,-0.25,53,405
402,0,0.5,0.5,0.25,53,105
403,0,0.5,-0.5,-0.25,53,302
404,0,0.5,-0.5,-0.25,53,307
405,-1,-0.5,0.5,-0.25,54,107
406,-1,-0.5,-0.5,0.25,54,306
407,0,-0.5,-0.5,0.25,54,408
408,-1,-0.5,0.5,-0.25,54,101
409,-1,-0.5,0.5,-0.25,54,102
410,0,-0.5,-0.5,0.25,54,402
411,-1,-0.5,-0.5,0.25,54,301
412,-1,-0.5,-0.5,0.25,54,305
413,0,-0.5,-0.5,0.25,54,403
414,0,0.5,0.5,0.25,56,104
415,0,0.5,-0.5,-0.25,56,305
416,0,0.5,0.5,0.25,56,105
417,0,0.5,-0.5,-0.25,56,408
418,0,0.5,-0.5,-0.25,56,404
419,0,0.5,-0.5,-0.25,56,304
420,0,0.5,-0.5,-0.25,56,402
421,0,0.5,-0.5,-0.25,56,302
422,0,0.5,0.5,0.25,56,102
423,-1,-0.5,0.5,-0.25,57,104
424,-1,-0.5,0.5,-0.25,57,106
425,0,-0.5,-0.5,0.25,57,403
426,0,-0.5,-0.5,0.25,57,407
427,-1,-0.5,-0.5,0.25,57,306
428,-1,-0.5,0.5,-0.25,57,103
429,0,-0.5,-0.5,0.25,57,308
430,0,-0.5,-0.5,0.25,57,302
431,0,-0.5,-0.5,0.25,57,404
432,0,0.5,-0.5,-0.25,58,308
433,0,0.5,-0.5,-0.25,58,405
434,-1,0.5,0.5,0.25,58,107
435,0,0.5,-0.5,-0.25,58,302
436,0,0.5,-0.5,-0.25,58,407
437,0,0.5,0.5,0.25,58,106
438,0,0.5,0.5,0.25,58,104
439,0,0.5,-0.5,-0.25,58,401
440,0,0.5,-0.5,-0.25,58,301
